neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
Morningside Heights,40.81509,-73.96019,Entire home/apt,120,4,4
Hell's Kitchen,40.76358,-73.99361,Private room,140,1,4
Chelsea,40.74923,-73.99376,Entire home/apt,450,4,206
Lower East Side,40.72083,-73.99308,Entire home/apt,150,30,1
Murray Hill,40.7472,-73.97278,Private room,500,2,0
Nolita,40.72277,-73.99524,Entire home/apt,182,2,11
Washington Heights,40.8434,-73.94139,Entire home/apt,200,2,0
Upper West Side,40.77516,-73.98573,Entire home/apt,2000,30,59
Kips Bay,40.74348,-73.97962,Entire home/apt,150,14,1
Chelsea,40.73916,-73.99471,Entire home/apt,85,14,1
East Harlem,40.79395,-73.94153,Private room,38,30,0
Murray Hill,40.74424,-73.97272,Entire home/apt,190,30,0
Hell's Kitchen,40.76493,-73.98652,Entire home/apt,150,30,18
East Village,40.72709,-73.98274,Private room,90,1,109
Upper East Side,40.77842,-73.95026,Entire home/apt,135,3,1
East Harlem,40.786,-73.94571,Private room,99,2,81
Upper East Side,40.76347,-73.96514,Entire home/apt,185,4,10
Upper East Side,40.76516,-73.95841,Private room,80,1,23
Upper East Side,40.76066,-73.96372,Entire home/apt,100,20,16
Washington Heights,40.83534,-73.94354,Entire home/apt,150,2,3
Hell's Kitchen,40.76179,-73.99989,Entire home/apt,142,20,4
Murray Hill,40.75058,-73.97746,Entire home/apt,200,30,0
West Village,40.73381,-74.00365,Private room,150,3,87
Upper East Side,40.77704,-73.94442,Entire home/apt,166,2,4
Hell's Kitchen,40.76442,-73.99458,Entire home/apt,200,30,1
West Village,40.73204,-74.00189,Entire home/apt,315,3,7
Upper West Side,40.79412,-73.96806,Entire home/apt,173,10,0
East Village,40.72275,-73.97598,Entire home/apt,175,2,27
Financial District,40.70731,-74.00871,Entire home/apt,155,3,0
Midtown,40.74754,-73.98309,Entire home/apt,119,7,1
Kips Bay,40.7433,-73.9807,Entire home/apt,120,20,0
Harlem,40.82491,-73.94774,Entire home/apt,149,31,0
Upper West Side,40.7972,-73.96156,Entire home/apt,86,2,3
East Village,40.72402,-73.97778,Entire home/apt,300,2,0
Washington Heights,40.85516,-73.92863,Private room,55,1,96
Hell's Kitchen,40.76452,-73.9874,Shared room,75,1,53
Midtown,40.75714,-73.96748,Private room,90,1,42
Lower East Side,40.71413,-73.9864,Private room,89,1,5
Upper West Side,40.79094,-73.97459,Entire home/apt,260,1,38
Civic Center,40.71327,-73.99853,Private room,98,1,10
Upper East Side,40.77538,-73.94857,Entire home/apt,150,30,0
East Village,40.7223,-73.9821,Entire home/apt,140,2,149
Harlem,40.82161,-73.94644,Entire home/apt,140,1,4
East Village,40.72786,-73.98693,Private room,95,3,0
Chelsea,40.74336,-74.00278,Entire home/apt,200,6,45
Tribeca,40.72024,-74.00866,Private room,100,1,25
East Village,40.73089,-73.98429,Private room,90,1,133
West Village,40.73185,-74.00271,Entire home/apt,150,4,5
Chelsea,40.75286,-73.99551,Entire home/apt,239,30,0
SoHo,40.72064,-73.99957,Entire home/apt,595,5,51
Upper East Side,40.77518,-73.95618,Entire home/apt,200,5,4
West Village,40.73176,-74.00428,Entire home/apt,179,7,3
Upper East Side,40.77989,-73.95159,Entire home/apt,125,1,21
Washington Heights,40.84399,-73.94228,Entire home/apt,80,3,0
Washington Heights,40.84444,-73.93554,Private room,50,5,5
West Village,40.73485,-74.00637,Entire home/apt,165,5,4
Two Bridges,40.71213,-73.99661,Private room,95,1,92
East Harlem,40.79872,-73.9411,Entire home/apt,120,3,6
Upper West Side,40.80377,-73.96903,Private room,163,1,30
Upper East Side,40.77449,-73.96228,Entire home/apt,119,60,1
Upper East Side,40.78172,-73.94827,Entire home/apt,225,3,62
Lower East Side,40.72145,-73.99257,Entire home/apt,240,30,3
Morningside Heights,40.81254,-73.96025,Private room,48,7,1
Chelsea,40.74118,-74.00012,Private room,110,1,48
East Village,40.7254,-73.98854,Private room,125,3,2
Hell's Kitchen,40.76484,-73.98969,Entire home/apt,220,4,0
Greenwich Village,40.72824,-73.99517,Entire home/apt,275,4,18
Upper West Side,40.79546,-73.96452,Private room,98,3,2
Upper East Side,40.77207,-73.95923,Entire home/apt,169,7,11
East Village,40.73312,-73.99097,Entire home/apt,150,62,0
Midtown,40.76395,-73.97622,Private room,450,1,3
Upper East Side,40.76368,-73.95993,Entire home/apt,312,30,0
Lower East Side,40.71984,-73.98625,Private room,100,3,19
Chelsea,40.74511,-73.99468,Private room,138,25,0
Tribeca,40.71845,-74.01183,Entire home/apt,500,1,0
East Village,40.72891,-73.97977,Entire home/apt,169,1,5
Harlem,40.82502,-73.95155,Private room,45,7,1
Upper East Side,40.76866,-73.9536,Entire home/apt,140,6,36
Harlem,40.83,-73.94299,Private room,59,1,1
East Village,40.72375,-73.98949,Entire home/apt,175,5,1
Upper East Side,40.77849,-73.95046,Entire home/apt,112,4,13
Upper West Side,40.79401,-73.9639,Entire home/apt,228,7,1
Harlem,40.824,-73.95229,Private room,50,4,15
Lower East Side,40.7194,-73.992,Entire home/apt,140,7,1
Harlem,40.80102,-73.95401,Private room,70,3,62
Midtown,40.76487,-73.97857,Entire home/apt,250,1,9
Harlem,40.81389,-73.95205,Private room,45,7,6
Financial District,40.70959,-74.00646,Entire home/apt,145,3,2
Midtown,40.7461,-73.98632,Entire home/apt,281,1,3
Washington Heights,40.85068,-73.9372,Entire home/apt,65,2,4
Financial District,40.7035,-74.00713,Entire home/apt,178,30,2
Greenwich Village,40.72994,-73.99455,Private room,100,1,0
Midtown,40.75381,-73.97125,Private room,899,2,2
East Harlem,40.80224,-73.93732,Private room,48,1,1
Upper East Side,40.77504,-73.94945,Entire home/apt,138,1,95
Upper West Side,40.78331,-73.9747,Entire home/apt,115,30,0
Gramercy,40.73391,-73.98552,Entire home/apt,150,3,12
Hell's Kitchen,40.75396,-73.99571,Private room,100,7,2
Harlem,40.80194,-73.95602,Entire home/apt,125,2,1
Murray Hill,40.74947,-73.9761,Entire home/apt,175,30,3
Harlem,40.81161,-73.94306,Shared room,70,1,0
Lower East Side,40.71895,-73.99434,Entire home/apt,211,1,52
SoHo,40.72675,-74.00757,Private room,225,3,49
Upper West Side,40.76908,-73.98483,Entire home/apt,87,30,5
East Harlem,40.7977,-73.93736,Private room,65,28,1
East Village,40.72884,-73.98517,Entire home/apt,125,25,19
Harlem,40.80717,-73.94386,Entire home/apt,110,2,6
Midtown,40.76146,-73.96649,Private room,195,3,67
Upper East Side,40.77991,-73.95267,Entire home/apt,117,30,0
Hell's Kitchen,40.76113,-73.99185,Private room,155,10,9
Upper East Side,40.77666,-73.95625,Entire home/apt,165,2,22
West Village,40.73233,-74.00244,Entire home/apt,264,10,17
Harlem,40.80297,-73.95537,Entire home/apt,100,7,2
Financial District,40.70604,-74.00869,Private room,370,4,0
Midtown,40.75741,-73.98126,Entire home/apt,125,1,53
Financial District,40.70587,-74.01534,Entire home/apt,500,2,63
Chinatown,40.71558,-73.99136,Entire home/apt,325,30,76
Kips Bay,40.73916,-73.9822,Entire home/apt,235,1,0
Financial District,40.7034,-74.00787,Entire home/apt,175,30,2
Upper West Side,40.78284,-73.97203,Entire home/apt,175,1,0
Upper East Side,40.77345,-73.95848,Private room,112,10,38
Harlem,40.81524,-73.94168,Private room,47,1,0
East Harlem,40.79747,-73.93559,Entire home/apt,105,1,124
Upper West Side,40.78458,-73.97836,Entire home/apt,180,3,2
Harlem,40.80883,-73.94577,Private room,68,30,20
Morningside Heights,40.80822,-73.96567,Entire home/apt,190,5,9
West Village,40.73879,-74.00425,Entire home/apt,200,27,1
Harlem,40.80497,-73.94152,Entire home/apt,106,3,7
East Harlem,40.80182,-73.94014,Private room,105,2,5
Hell's Kitchen,40.76361,-73.98992,Shared room,69,1,81
Midtown,40.75879,-73.9638,Entire home/apt,220,360,1
Civic Center,40.71175,-74.00763,Entire home/apt,200,2,4
West Village,40.73622,-74.00147,Shared room,110,1,47
East Harlem,40.79155,-73.94141,Private room,85,3,3
Theater District,40.76102,-73.98677,Private room,100,1,51
Upper West Side,40.78269,-73.9839,Entire home/apt,800,7,0
Inwood,40.86703,-73.93007,Private room,75,3,1
Harlem,40.80475,-73.9491,Entire home/apt,108,30,3
Hell's Kitchen,40.76115,-73.99823,Entire home/apt,499,30,0
Upper West Side,40.80183,-73.96542,Private room,68,1,14
Chelsea,40.74234,-74.00032,Entire home/apt,1731,10,84
Harlem,40.79992,-73.95502,Entire home/apt,70,30,14
Hell's Kitchen,40.76676,-73.98953,Entire home/apt,200,6,2
Upper East Side,40.77572,-73.95672,Entire home/apt,233,30,0
Hell's Kitchen,40.76325,-73.99012,Entire home/apt,199,2,12
Theater District,40.75662,-73.98749,Private room,300,3,0
Harlem,40.83091,-73.94223,Entire home/apt,135,5,38
East Village,40.72615,-73.98477,Entire home/apt,59,2,17
Kips Bay,40.73833,-73.98186,Entire home/apt,195,30,139
Harlem,40.8185,-73.9442,Private room,45,4,1
West Village,40.73447,-74.00266,Entire home/apt,599,1,0
Harlem,40.8131,-73.94459,Private room,67,1,73
Hell's Kitchen,40.76558,-73.98787,Entire home/apt,135,3,28
Chelsea,40.74588,-74.00055,Entire home/apt,159,1,202
Washington Heights,40.85104,-73.93979,Private room,60,2,12
East Harlem,40.80759,-73.94103,Entire home/apt,99,5,13
Theater District,40.76072,-73.98582,Entire home/apt,244,29,1
East Village,40.72157,-73.97861,Private room,71,7,42
East Village,40.72627,-73.98915,Private room,110,3,64
Harlem,40.81872,-73.94491,Private room,39,1,0
Upper West Side,40.80321,-73.96463,Private room,35,1,64
East Village,40.72547,-73.98401,Entire home/apt,170,2,7
Upper West Side,40.80421,-73.96738,Private room,75,2,17
Hell's Kitchen,40.76404,-73.9926,Private room,175,2,120
Inwood,40.86623,-73.91993,Private room,50,1,1
Murray Hill,40.74699,-73.97301,Entire home/apt,375,2,10
East Harlem,40.7887,-73.9414,Private room,90,1,50
East Harlem,40.80073,-73.94328,Shared room,45,1,17
Financial District,40.71111,-74.00936,Private room,110,2,0
East Village,40.72941,-73.98094,Entire home/apt,150,4,9
Upper West Side,40.76877,-73.98371,Entire home/apt,150,5,1
Upper East Side,40.76481,-73.95651,Entire home/apt,225,3,5
Battery Park City,40.71085,-74.01801,Entire home/apt,200,2,17
Stuyvesant Town,40.73117,-73.97616,Private room,55,31,0
Harlem,40.81315,-73.94747,Entire home/apt,150,4,22
East Village,40.73334,-73.98904,Entire home/apt,160,7,35
Chelsea,40.73971,-73.99611,Entire home/apt,1050,2,0
Washington Heights,40.85289,-73.93508,Private room,64,1,16
Kips Bay,40.74385,-73.97669,Entire home/apt,100,4,25
Financial District,40.71133,-74.00676,Entire home/apt,220,4,0
East Village,40.72746,-73.97611,Entire home/apt,185,2,32
Hell's Kitchen,40.76536,-73.98469,Entire home/apt,195,30,0
Hell's Kitchen,40.7557,-73.99563,Private room,62,7,10
East Village,40.72689,-73.98906,Private room,69,30,0
West Village,40.73291,-74.00059,Entire home/apt,246,4,6
Midtown,40.7452,-73.98427,Entire home/apt,400,1,16
Harlem,40.82348,-73.94581,Private room,39,30,5
West Village,40.73316,-74.00782,Entire home/apt,300,4,24
Midtown,40.74801,-73.98817,Entire home/apt,225,3,11
Upper East Side,40.76226,-73.95808,Entire home/apt,300,1,8
Kips Bay,40.74318,-73.97916,Entire home/apt,800,2,0
Harlem,40.82967,-73.93957,Private room,79,1,63
East Village,40.72577,-73.98535,Entire home/apt,399,1,9
Harlem,40.80386,-73.95065,Private room,65,2,3
Flatiron District,40.74175,-73.99104,Entire home/apt,350,2,0
Harlem,40.80533,-73.94665,Entire home/apt,175,1,152
West Village,40.73191,-74.00679,Entire home/apt,300,3,0
East Harlem,40.80552,-73.94031,Private room,51,5,16
Chelsea,40.74188,-73.99865,Private room,100,1,2
East Village,40.73223,-73.98658,Entire home/apt,253,30,0
Morningside Heights,40.81231,-73.95858,Private room,60,2,20
East Harlem,40.80827,-73.93813,Entire home/apt,100,3,103
Chinatown,40.71463,-73.99054,Private room,128,13,0
Harlem,40.82337,-73.94529,Entire home/apt,155,5,22
Midtown,40.74985,-73.98152,Private room,90,2,13
Upper East Side,40.77549,-73.95196,Private room,235,1,2
Chelsea,40.74169,-73.99723,Entire home/apt,240,2,0
Harlem,40.81333,-73.94453,Entire home/apt,122,1,116
Midtown,40.74822,-73.9873,Entire home/apt,240,2,14
Chelsea,40.73982,-74.0011,Entire home/apt,195,1,71
West Village,40.73682,-74.00406,Entire home/apt,250,2,2
East Village,40.72288,-73.98342,Private room,60,1,3
East Village,40.72686,-73.9797,Entire home/apt,220,4,162
East Village,40.72445,-73.97683,Private room,149,3,36
Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188
Chinatown,40.71502,-73.99066,Entire home/apt,150,4,8
Upper West Side,40.79487,-73.96304,Private room,160,3,3
Morningside Heights,40.81411,-73.96073,Entire home/apt,180,2,0
Lower East Side,40.71812,-73.98619,Entire home/apt,197,1,285
Harlem,40.82237,-73.94617,Private room,54,2,6
Midtown,40.7647,-73.97452,Private room,100,1,0
Morningside Heights,40.80549,-73.96393,Entire home/apt,185,3,10
Upper West Side,40.79943,-73.968,Private room,65,1,2
East Harlem,40.78766,-73.9423,Entire home/apt,134,3,2
East Village,40.72367,-73.98131,Shared room,100,15,0
Greenwich Village,40.7315,-73.99961,Private room,80,180,5
Washington Heights,40.83705,-73.93843,Private room,55,1,2
Harlem,40.82321,-73.95662,Private room,37,2,0
Harlem,40.81162,-73.95046,Entire home/apt,100,1,5
Chelsea,40.74327,-73.99848,Entire home/apt,245,3,115
Midtown,40.74945,-73.98762,Private room,119,1,58
Midtown,40.75484,-73.97235,Private room,375,1,0
Upper West Side,40.80114,-73.96772,Entire home/apt,250,30,17
East Village,40.72307,-73.98437,Private room,89,1,12
West Village,40.72981,-74.00348,Entire home/apt,274,6,37
Harlem,40.82219,-73.9448,Private room,100,1,58
Hell's Kitchen,40.75911,-73.98932,Entire home/apt,185,6,10
Hell's Kitchen,40.76406,-73.991,Entire home/apt,185,30,3
Theater District,40.75938,-73.98749,Entire home/apt,219,30,0
East Harlem,40.79228,-73.94013,Entire home/apt,106,2,8
West Village,40.72916,-74.00433,Entire home/apt,120,3,5
Upper West Side,40.80347,-73.96607,Private room,38,3,1
West Village,40.73818,-74.00433,Entire home/apt,300,2,0
Harlem,40.80997,-73.9412,Entire home/apt,110,3,79
Upper West Side,40.77858,-73.98707,Entire home/apt,150,28,8
West Village,40.73704,-74.00371,Entire home/apt,225,1,21
Harlem,40.80204,-73.95656,Shared room,80,1,0
Chelsea,40.74276,-74.00016,Entire home/apt,225,2,0
Upper West Side,40.79512,-73.97092,Private room,425,3,24
East Village,40.72631,-73.98507,Entire home/apt,180,7,2
Upper East Side,40.77672,-73.95559,Private room,120,3,14
Chelsea,40.74105,-74.00401,Entire home/apt,195,4,48
Chinatown,40.71826,-73.99671,Entire home/apt,156,2,9
Chelsea,40.74379,-73.99918,Entire home/apt,250,2,8
Greenwich Village,40.72714,-73.99581,Entire home/apt,187,14,1
Gramercy,40.73638,-73.98089,Entire home/apt,239,30,0
East Village,40.72787,-73.98969,Private room,115,1,0
Financial District,40.70465,-74.00773,Private room,150,1,1
Upper West Side,40.79872,-73.96069,Private room,67,1,22
East Harlem,40.79578,-73.94523,Private room,68,2,31
Harlem,40.81991,-73.9575,Shared room,60,1,0
Midtown,40.75615,-73.9649,Entire home/apt,355,30,0
Midtown,40.75227,-73.97351,Entire home/apt,143,1,1
Harlem,40.82607,-73.95124,Private room,54,23,8
Kips Bay,40.74533,-73.97956,Private room,95,4,11
Chelsea,40.74549,-73.99473,Private room,84,1,13
Chinatown,40.71655,-73.99203,Entire home/apt,499,1,116
Hell's Kitchen,40.76482,-73.98674,Entire home/apt,224,7,10
East Village,40.72322,-73.98689,Private room,89,1,48
West Village,40.7344,-74.00262,Private room,105,1,0
Kips Bay,40.73879,-73.98135,Entire home/apt,220,2,1
Harlem,40.82402,-73.94537,Private room,73,2,24
East Harlem,40.80584,-73.94066,Private room,79,1,16
Upper West Side,40.77555,-73.9767,Entire home/apt,250,3,73
Chelsea,40.74583,-74.00363,Entire home/apt,275,7,0
Washington Heights,40.83921,-73.93535,Entire home/apt,120,4,10
Chelsea,40.73902,-73.99143,Entire home/apt,1100,3,0
Morningside Heights,40.8042,-73.96491,Private room,90,1,42
East Village,40.72434,-73.98904,Entire home/apt,140,1,6
East Village,40.72388,-73.98411,Entire home/apt,90,5,21
Upper East Side,40.77026,-73.95208,Entire home/apt,127,3,0
Midtown,40.75797,-73.96356,Entire home/apt,225,14,1
Harlem,40.80637,-73.95433,Private room,140,2,44
Upper East Side,40.77695,-73.95519,Shared room,75,1,0
Morningside Heights,40.81449,-73.95842,Private room,60,2,3
East Harlem,40.79335,-73.94527,Entire home/apt,135,1,45
Harlem,40.80305,-73.95766,Private room,50,5,8
Hell's Kitchen,40.76073,-73.99215,Entire home/apt,115,30,3
Harlem,40.82193,-73.94499,Private room,95,3,160
Midtown,40.75755,-73.9666,Entire home/apt,133,30,3
Upper East Side,40.77372,-73.95418,Private room,114,1,40
Chinatown,40.71665,-73.99633,Private room,104,3,65
Lower East Side,40.72139,-73.99271,Entire home/apt,220,2,85
Washington Heights,40.84693,-73.94205,Entire home/apt,67,15,1
Gramercy,40.73817,-73.98903,Entire home/apt,850,1,3
Midtown,40.75795,-73.96567,Entire home/apt,189,1,0
Upper West Side,40.78748,-73.98023,Entire home/apt,150,1,0
Chelsea,40.74819,-73.9954,Private room,82,1,147
Upper East Side,40.77055,-73.95509,Entire home/apt,150,2,28
Hell's Kitchen,40.76364,-73.98694,Entire home/apt,300,30,0
Murray Hill,40.74773,-73.98079,Entire home/apt,250,1,1
East Village,40.72935,-73.9871,Private room,150,2,9
Lower East Side,40.7154,-73.98301,Entire home/apt,585,2,1
West Village,40.73814,-74.00047,Entire home/apt,199,4,108
Washington Heights,40.84377,-73.94094,Private room,37,4,4
Upper West Side,40.7904,-73.97555,Entire home/apt,320,30,0
East Harlem,40.7866,-73.94225,Entire home/apt,150,2,2
Little Italy,40.7191,-73.99671,Entire home/apt,150,30,0
Harlem,40.81056,-73.94627,Entire home/apt,149,3,28
Upper East Side,40.76179,-73.96427,Entire home/apt,210,1,1
Harlem,40.82245,-73.95404,Private room,42,14,2
Upper East Side,40.77161,-73.95295,Entire home/apt,140,1,0
Greenwich Village,40.7274,-73.99991,Entire home/apt,250,3,0
Upper West Side,40.78834,-73.97215,Entire home/apt,95,15,5
Hell's Kitchen,40.76194,-73.99346,Entire home/apt,175,1,33
East Harlem,40.80656,-73.93709,Private room,80,2,1
Inwood,40.86927,-73.91719,Private room,46,7,1
Upper West Side,40.79397,-73.97376,Entire home/apt,175,3,1
Chelsea,40.74393,-74.00444,Entire home/apt,190,3,2
Hell's Kitchen,40.76632,-73.98597,Shared room,95,1,8
Harlem,40.79939,-73.95218,Private room,85,3,0
Financial District,40.70747,-74.00663,Entire home/apt,309,1,15
Nolita,40.72321,-73.99532,Entire home/apt,175,3,12
Upper East Side,40.76717,-73.95317,Entire home/apt,250,2,3
Financial District,40.70415,-74.00688,Entire home/apt,189,30,0
Kips Bay,40.74361,-73.97523,Entire home/apt,239,29,0
Kips Bay,40.74164,-73.982,Entire home/apt,350,1,0
Kips Bay,40.74228,-73.97601,Entire home/apt,175,7,5
Harlem,40.81591,-73.93995,Private room,70,3,7
Inwood,40.86772,-73.92563,Private room,40,4,1
Midtown,40.75921,-73.97361,Private room,250,3,167
Gramercy,40.73192,-73.98291,Entire home/apt,150,5,0
Upper East Side,40.76499,-73.95831,Private room,80,1,29
East Village,40.7297,-73.97959,Private room,99,2,1
Theater District,40.761,-73.98217,Entire home/apt,249,5,0
East Village,40.72152,-73.97761,Entire home/apt,125,1,4
Harlem,40.82943,-73.9407,Entire home/apt,120,5,28
East Village,40.72817,-73.98041,Private room,150,2,18
Harlem,40.81878,-73.95302,Private room,77,1,15
East Village,40.72947,-73.9785,Private room,85,4,20
Kips Bay,40.74405,-73.97781,Private room,150,1,0
Murray Hill,40.7471,-73.97263,Entire home/apt,190,30,0
Upper West Side,40.77447,-73.98853,Entire home/apt,300,2,5
Harlem,40.82305,-73.95033,Private room,60,1,23
Chinatown,40.71346,-73.99158,Entire home/apt,180,2,1
Chelsea,40.75321,-74.00238,Entire home/apt,590,10,0
Hell's Kitchen,40.75858,-73.99227,Private room,140,4,24
Chelsea,40.75066,-73.99944,Private room,139,5,120
East Harlem,40.79005,-73.94929,Entire home/apt,110,4,4
Harlem,40.80386,-73.95369,Entire home/apt,105,4,9
Greenwich Village,40.73256,-74.00008,Private room,60,14,0
East Harlem,40.79739,-73.94054,Entire home/apt,90,1,0
Upper West Side,40.77606,-73.97803,Private room,219,1,0
SoHo,40.72409,-74.00241,Private room,199,3,107
Upper East Side,40.77705,-73.96038,Private room,90,1,4
Hell's Kitchen,40.76481,-73.98845,Entire home/apt,2200,2,6
Upper East Side,40.77407,-73.95238,Entire home/apt,125,3,211
Kips Bay,40.73967,-73.98041,Entire home/apt,200,13,3
Financial District,40.70864,-74.0051,Entire home/apt,224,30,0
Nolita,40.72232,-73.99579,Private room,65,3,2
Midtown,40.74812,-73.98602,Entire home/apt,287,29,0
Washington Heights,40.85076,-73.94047,Private room,50,1,0
Harlem,40.81502,-73.9546,Entire home/apt,110,90,7
East Village,40.72925,-73.98459,Entire home/apt,150,3,12
Hell's Kitchen,40.7642,-73.98677,Entire home/apt,399,2,287
East Village,40.73082,-73.98693,Entire home/apt,160,2,44
Harlem,40.82794,-73.95118,Entire home/apt,150,2,69
Harlem,40.80316,-73.95447,Private room,80,3,1
Upper East Side,40.78451,-73.94939,Entire home/apt,150,1,0
Hell's Kitchen,40.75516,-73.99603,Private room,110,3,35
Chinatown,40.71611,-73.99405,Private room,80,25,8
Midtown,40.75337,-73.97289,Entire home/apt,900,3,0
East Village,40.72823,-73.98933,Entire home/apt,1999,1,20
Upper West Side,40.78557,-73.97214,Private room,150,1,2
Upper West Side,40.79141,-73.97345,Entire home/apt,140,30,0
Upper East Side,40.76955,-73.95988,Entire home/apt,589,6,9
East Harlem,40.7879,-73.95418,Private room,90,2,9
Upper West Side,40.77137,-73.98321,Entire home/apt,180,1,0
Midtown,40.74926,-73.98201,Entire home/apt,250,30,2
Lower East Side,40.71924,-73.98507,Private room,83,2,3
Upper East Side,40.77296,-73.95594,Private room,75,3,11
Hell's Kitchen,40.75987,-73.99008,Entire home/apt,198,3,15
Washington Heights,40.85341,-73.93181,Entire home/apt,37,30,3
Harlem,40.82339,-73.95271,Entire home/apt,90,7,7
Upper East Side,40.76458,-73.96759,Entire home/apt,159,31,9
Nolita,40.72336,-73.99618,Private room,59,60,6
Morningside Heights,40.80776,-73.9654,Private room,105,2,233
Morningside Heights,40.80672,-73.96713,Private room,125,6,3
Midtown,40.75375,-73.97295,Private room,799,4,3
Tribeca,40.71474,-74.00596,Private room,100,30,0
Upper West Side,40.80014,-73.96039,Entire home/apt,325,4,17
Harlem,40.80742,-73.95214,Private room,123,4,1
Harlem,40.81821,-73.94746,Private room,85,30,53
Midtown,40.7535,-73.97134,Entire home/apt,159,2,12
Upper West Side,40.78642,-73.97723,Private room,90,3,0
Tribeca,40.71893,-74.00485,Private room,60,25,2
Financial District,40.70713,-74.01043,Private room,125,1,13
Hell's Kitchen,40.75603,-73.99247,Entire home/apt,95,1,0
Hell's Kitchen,40.76551,-73.98899,Shared room,116,2,101
Kips Bay,40.74416,-73.97702,Entire home/apt,125,3,0
East Village,40.72598,-73.98856,Private room,145,1,25
Upper West Side,40.77708,-73.98791,Entire home/apt,138,3,24
East Harlem,40.79668,-73.93379,Private room,60,2,136
Upper West Side,40.78246,-73.97654,Entire home/apt,155,7,0
West Village,40.73898,-74.00415,Entire home/apt,250,5,10
Harlem,40.80769,-73.95505,Private room,118,1,95
Greenwich Village,40.73055,-74.0007,Entire home/apt,180,2,28
Harlem,40.82235,-73.94846,Entire home/apt,250,2,27
Lower East Side,40.7192,-73.98431,Private room,75,2,3
Kips Bay,40.74297,-73.98195,Entire home/apt,650,1,0
Midtown,40.75531,-73.9655,Private room,148,1,30
Upper West Side,40.79114,-73.9671,Private room,175,4,11
Harlem,40.81251,-73.94524,Entire home/apt,95,1,2
Financial District,40.70989,-74.00813,Private room,85,3,4
East Harlem,40.79819,-73.94294,Private room,89,1,23
Chelsea,40.74605,-73.99906,Private room,125,2,153
Harlem,40.80533,-73.95049,Private room,75,1,2
East Harlem,40.79713,-73.941,Private room,80,1,25
Upper West Side,40.7847,-73.97155,Entire home/apt,179,2,98
Chinatown,40.7135,-73.99121,Private room,75,1,318
Harlem,40.80679,-73.95105,Private room,75,2,12
Lower East Side,40.71171,-73.99077,Entire home/apt,125,30,1
East Village,40.732,-73.98518,Entire home/apt,190,1,0
Harlem,40.80257,-73.9548,Private room,200,1,0
Washington Heights,40.85513,-73.93305,Private room,60,3,5
Chelsea,40.7407,-73.99478,Entire home/apt,248,30,0
Harlem,40.81968,-73.9458,Entire home/apt,135,2,138
West Village,40.73897,-74.00346,Private room,999,1,3
West Village,40.73181,-74.00606,Entire home/apt,300,3,21
Midtown,40.75286,-73.99297,Private room,120,2,1
Washington Heights,40.84058,-73.93885,Entire home/apt,80,5,81
East Harlem,40.80911,-73.93698,Private room,150,1,0
Harlem,40.82094,-73.95745,Entire home/apt,50,3,1
Harlem,40.80196,-73.95261,Private room,75,1,0
Lower East Side,40.71311,-73.98482,Private room,43,1,0
East Village,40.72697,-73.98488,Entire home/apt,250,1,18
Gramercy,40.73646,-73.98337,Entire home/apt,195,3,3
Chelsea,40.74866,-73.98986,Entire home/apt,290,2,62
Washington Heights,40.85082,-73.9378,Private room,80,3,0
Hell's Kitchen,40.76407,-73.99203,Entire home/apt,131,2,0
Upper West Side,40.80049,-73.96064,Entire home/apt,96,1,2
Hell's Kitchen,40.76339,-73.99404,Private room,110,5,0
Upper West Side,40.7992,-73.97158,Entire home/apt,500,5,3
Washington Heights,40.85823,-73.93612,Private room,95,1,0
Harlem,40.80549,-73.95136,Private room,80,2,0
Upper East Side,40.76369,-73.96122,Entire home/apt,200,30,1
Midtown,40.75259,-73.97061,Entire home/apt,129,1,159
East Village,40.72582,-73.97558,Private room,95,2,13
Harlem,40.83039,-73.94532,Private room,65,30,6
East Harlem,40.79006,-73.94969,Private room,120,2,27
Chinatown,40.71709,-73.99628,Entire home/apt,124,4,0
Midtown,40.75524,-73.97269,Private room,299,1,8
East Village,40.72909,-73.98986,Private room,95,1,78
Lower East Side,40.71343,-73.98677,Entire home/apt,200,4,25
Upper East Side,40.7699,-73.95692,Entire home/apt,125,3,44
East Village,40.72897,-73.9811,Entire home/apt,130,30,0
West Village,40.73642,-73.9992,Entire home/apt,345,3,61
Hell's Kitchen,40.76257,-73.98603,Entire home/apt,160,3,20
West Village,40.73823,-74.00233,Entire home/apt,165,7,1
Little Italy,40.71959,-73.99604,Private room,99,2,2
Harlem,40.81774,-73.94595,Entire home/apt,150,4,82
Chelsea,40.74516,-73.9959,Private room,100,2,63
East Village,40.72308,-73.97988,Private room,100,2,0
Harlem,40.82892,-73.95082,Private room,70,3,0
Washington Heights,40.83299,-73.94527,Private room,150,2,8
West Village,40.73587,-74.0043,Private room,70,2,3
Chelsea,40.74325,-73.99975,Entire home/apt,175,2,67
Kips Bay,40.73945,-73.98168,Entire home/apt,95,2,39
East Village,40.72821,-73.98633,Private room,62,30,0
Harlem,40.80697,-73.945,Entire home/apt,200,3,25
Midtown,40.75393,-73.96646,Entire home/apt,956,4,0
Harlem,40.80355,-73.95227,Private room,99,2,30
Chelsea,40.75126,-73.99498,Private room,139,3,0
Theater District,40.75692,-73.98373,Entire home/apt,140,30,0
