id,room_type,price,minimum_nights,number_of_reviews
4405,Entire home/apt,110,5,7
4406,Private room,59,1,4
4407,Private room,199,3,3
4408,Private room,109,1,1
4409,Entire home/apt,150,3,4
4410,Private room,80,3,2
4411,Entire home/apt,102,30,1
4412,Entire home/apt,170,3,3
4413,Private room,82,3,1
4414,Entire home/apt,200,7,0
4415,Private room,80,1,0
4416,Entire home/apt,127,4,8
4417,Entire home/apt,299,2,28
4418,Entire home/apt,150,1,4
4419,Entire home/apt,250,30,5
4420,Entire home/apt,499,1,6
4421,Entire home/apt,450,2,0
4422,Private room,290,2,0
4423,Private room,40,1,0
4424,Entire home/apt,800,2,24
4425,Entire home/apt,135,30,8
4426,Entire home/apt,225,4,1
4427,Private room,50,1,50
4428,Entire home/apt,155,31,0
4429,Private room,6192,3,10
4430,Private room,70,1,8
4431,Entire home/apt,249,1,17
4432,Entire home/apt,240,3,5
4433,Entire home/apt,175,30,0
4434,Entire home/apt,181,2,23
4435,Entire home/apt,130,3,1
4436,Private room,180,3,4
4437,Private room,120,3,16
4438,Entire home/apt,349,3,0
4439,Shared room,100,1,13
4440,Entire home/apt,125,2,57
4441,Private room,84,1,3
4442,Private room,289,3,0
4443,Entire home/apt,249,30,1
4444,Entire home/apt,256,2,0
4445,Entire home/apt,225,10,3
4446,Private room,90,1,2
4447,Entire home/apt,140,1,0
4448,Private room,120,1,6
4449,Entire home/apt,100,7,13
4450,Private room,80,2,4
4451,Private room,170,15,20
4452,Private room,99,1,0
4453,Entire home/apt,350,1,0
4454,Private room,80,5,0
4455,Private room,95,1,32
4456,Private room,97,1,35
4457,Entire home/apt,200,1,0
4458,Entire home/apt,259,30,0
4459,Entire home/apt,200,1,0
4460,Entire home/apt,280,7,10
4461,Private room,110,2,4
4462,Entire home/apt,260,30,0
4463,Entire home/apt,250,1,0
4464,Entire home/apt,200,1,0
4465,Private room,80,2,7
4466,Entire home/apt,148,2,2
4467,Private room,80,2,104
4468,Entire home/apt,199,1,6
4469,Entire home/apt,275,3,42
4470,Private room,92,1,0
4471,Entire home/apt,198,30,0
4472,Private room,135,3,38
4473,Entire home/apt,195,4,14
4474,Entire home/apt,499,3,6
4475,Entire home/apt,250,2,30
4476,Private room,309,2,1
4477,Private room,150,1,8
4478,Private room,69,30,4
4479,Entire home/apt,82,1,80
4480,Private room,150,1,20
4481,Entire home/apt,655,30,0
4482,Private room,105,3,0
4483,Entire home/apt,175,1,0
4484,Private room,70,3,0
4485,Entire home/apt,217,1,22
4486,Entire home/apt,482,2,16
4487,Entire home/apt,115,1,5
4488,Private room,130,3,6
4489,Entire home/apt,80,1,2
4490,Entire home/apt,1500,3,143
4491,Entire home/apt,240,2,22
4492,Shared room,184,1,0
4493,Private room,150,2,108
4494,Private room,258,1,6
4495,Private room,80,1,95
4496,Entire home/apt,115,2,8
4497,Entire home/apt,280,2,9
4498,Private room,128,2,0
4499,Entire home/apt,350,3,0
4500,Private room,85,61,18
4501,Private room,89,1,25
4502,Private room,105,2,39
4503,Entire home/apt,475,2,2
4504,Entire home/apt,250,1,1
4505,Private room,67,20,4
4506,Private room,115,4,3
4507,Entire home/apt,175,2,2
4508,Entire home/apt,150,2,53
4509,Entire home/apt,213,30,0
4510,Entire home/apt,85,24,5
4511,Private room,155,3,12
4512,Entire home/apt,149,3,107
4513,Entire home/apt,100,6,2
4514,Entire home/apt,232,3,0
4515,Entire home/apt,234,2,53
4516,Entire home/apt,229,3,100
4517,Entire home/apt,150,2,9
4518,Entire home/apt,150,30,7
4519,Private room,125,1,1
4520,Entire home/apt,225,4,6
4521,Entire home/apt,80,4,3
4522,Entire home/apt,199,2,43
4523,Entire home/apt,140,17,3
4524,Entire home/apt,243,30,0
4525,Entire home/apt,140,3,1
4526,Entire home/apt,88,3,6
4527,Entire home/apt,175,2,9
4528,Entire home/apt,115,2,4
4529,Private room,50,1,1
4530,Private room,40,1,145
4531,Entire home/apt,130,3,0
4532,Shared room,69,1,114
4533,Entire home/apt,279,4,8
4534,Private room,100,3,36
4535,Entire home/apt,184,3,2
4536,Entire home/apt,100,3,53
4537,Entire home/apt,120,30,2
4538,Entire home/apt,129,4,277
4539,Private room,180,1,10
4540,Entire home/apt,89,30,7
4541,Entire home/apt,100,6,2
4542,Entire home/apt,150,3,5
4543,Entire home/apt,1100,1,87
4544,Private room,130,2,3
4545,Private room,100,2,1
4546,Entire home/apt,250,2,2
4547,Private room,130,2,0
4548,Private room,70,8,2
4549,Entire home/apt,467,4,0
4550,Private room,45,17,0
4551,Private room,70,1,0
4552,Private room,80,7,2
4553,Entire home/apt,955,4,43
4554,Entire home/apt,324,2,10
4555,Private room,150,7,3
4556,Private room,140,11,0
4557,Private room,160,1,1
4558,Entire home/apt,180,2,22
4559,Private room,70,10,2
4560,Private room,69,5,9
4561,Entire home/apt,118,30,8
4562,Private room,58,3,4
4563,Entire home/apt,350,3,42
4564,Entire home/apt,275,6,8
4565,Entire home/apt,450,30,0
4566,Private room,80,6,31
4567,Private room,199,1,14
4568,Entire home/apt,400,2,0
4569,Private room,59,7,0
4570,Private room,70,3,11
4571,Entire home/apt,150,2,84
4572,Private room,100,7,9
4573,Private room,99,7,7
4574,Entire home/apt,100,1,1
4575,Entire home/apt,195,7,2
4576,Private room,43,3,1
4577,Entire home/apt,250,3,15
4578,Private room,96,1,0
4579,Private room,349,2,31
4580,Private room,100,1,97
4581,Entire home/apt,129,3,0
4582,Entire home/apt,400,4,27
4583,Entire home/apt,192,2,2
4584,Entire home/apt,148,3,6
4585,Private room,65,30,4
4586,Entire home/apt,239,6,2
4587,Entire home/apt,175,30,2
4588,Private room,100,1,4
4589,Entire home/apt,250,2,1
4590,Private room,100,1,0
4591,Entire home/apt,115,7,4
4592,Entire home/apt,170,3,3
4593,Private room,99,2,1
4594,Private room,220,2,4
4595,Entire home/apt,329,1,15
4596,Entire home/apt,219,3,3
4597,Entire home/apt,150,5,0
4598,Entire home/apt,290,30,0
4599,Private room,125,3,137
4600,Private room,95,1,159
4601,Entire home/apt,209,5,1
4602,Entire home/apt,164,30,0
4603,Entire home/apt,85,4,1
4604,Entire home/apt,110,2,38
4605,Entire home/apt,200,1,1
4606,Private room,40,15,10
4607,Private room,50,1,60
4608,Private room,173,19,0
4609,Entire home/apt,300,3,19
4610,Entire home/apt,396,3,0
4611,Private room,55,30,0
4612,Private room,58,9,22
4613,Private room,99,5,92
4614,Entire home/apt,100,1,12
4615,Private room,30,5,36
4616,Private room,76,2,75
4617,Entire home/apt,110,3,1
4618,Entire home/apt,150,1,2
4619,Private room,300,1,13
4620,Private room,105,17,14
4621,Entire home/apt,110,3,0
4622,Private room,65,20,24
4623,Private room,50,2,21
4624,Entire home/apt,424,5,6
4625,Entire home/apt,225,4,3
4626,Private room,210,1,0
4627,Private room,100,1,17
4628,Entire home/apt,200,1,0
4629,Private room,98,3,1
4630,Private room,65,1,3
4631,Private room,199,2,12
4632,Entire home/apt,265,30,3
4633,Entire home/apt,70,2,11
4634,Private room,125,7,0
4635,Entire home/apt,200,3,61
4636,Private room,185,2,7
4637,Private room,75,1,8
4638,Entire home/apt,127,3,15
4639,Private room,60,3,0
4640,Private room,60,2,11
4641,Entire home/apt,591,2,18
4642,Entire home/apt,130,3,18
4643,Private room,65,1,220
4644,Entire home/apt,156,6,30
4645,Private room,65,2,19
4646,Entire home/apt,182,15,115
4647,Entire home/apt,200,1,1
4648,Private room,225,1,8
4649,Entire home/apt,189,1,11
4650,Entire home/apt,215,10,1
4651,Private room,150,2,1
4652,Private room,65,14,32
4653,Entire home/apt,55,20,5
4654,Private room,33,14,1
4655,Entire home/apt,229,1,0
4656,Private room,206,5,3
4657,Entire home/apt,180,1,0
4658,Entire home/apt,100,4,8
4659,Private room,100,1,10
4660,Private room,73,2,16
4661,Entire home/apt,328,3,10
4662,Private room,65,2,0
4663,Private room,99,1,280
4664,Entire home/apt,299,3,1
4665,Entire home/apt,670,14,19
4666,Entire home/apt,125,3,18
4667,Entire home/apt,300,30,1
4668,Entire home/apt,120,31,0
4669,Private room,50,1,8
4670,Private room,275,2,46
4671,Private room,60,2,9
4672,Private room,90,3,7
4673,Entire home/apt,120,7,11
4674,Entire home/apt,200,1,25
4675,Entire home/apt,78,1,0
4676,Private room,50,1,70
4677,Private room,120,1,3
4678,Private room,129,5,6
4679,Entire home/apt,500,7,13
4680,Private room,90,3,6
4681,Private room,210,1,0
4682,Private room,150,10,0
4683,Private room,69,30,89
4684,Entire home/apt,67,4,36
4685,Entire home/apt,450,3,11
4686,Entire home/apt,240,3,41
4687,Entire home/apt,185,5,4
4688,Entire home/apt,199,3,72
4689,Entire home/apt,150,1,18
4690,Entire home/apt,274,5,1
4691,Private room,95,2,1
4692,Private room,100,3,21
4693,Private room,998,1,48
4694,Private room,85,5,5
4695,Private room,150,2,11
4696,Private room,109,2,114
4697,Entire home/apt,135,2,58
4698,Entire home/apt,300,1,10
4699,Entire home/apt,270,2,59
4700,Private room,64,1,4
4701,Private room,79,6,5
4702,Entire home/apt,350,1,131
4703,Entire home/apt,110,30,5
4704,Entire home/apt,155,1,1
4705,Entire home/apt,199,30,2
4706,Entire home/apt,195,7,1
4707,Entire home/apt,175,3,7
4708,Entire home/apt,125,5,2
4709,Entire home/apt,500,30,0
4710,Entire home/apt,299,1,4
4711,Entire home/apt,170,3,23
4712,Private room,99,2,27
4713,Entire home/apt,200,1,0
4714,Entire home/apt,82,4,16
4715,Entire home/apt,205,3,1
4716,Entire home/apt,199,3,9
4717,Entire home/apt,350,30,0
4718,Private room,72,30,4
4719,Private room,70,3,4
4720,Private room,59,4,1
4721,Entire home/apt,119,30,0
4722,Private room,43,1,4
4723,Private room,56,2,27
4724,Private room,70,2,0
4725,Private room,65,1,0
4726,Entire home/apt,175,1,200
4727,Private room,74,5,45
4728,Private room,136,2,15
4729,Entire home/apt,300,1,3
4730,Private room,150,1,1
4731,Private room,94,20,5
4732,Entire home/apt,250,21,0
4733,Entire home/apt,275,30,173
4734,Private room,250,30,0
4735,Private room,100,2,10
4736,Private room,100,3,156
4737,Entire home/apt,160,2,24
4738,Private room,120,2,0
4739,Entire home/apt,125,6,7
4740,Entire home/apt,300,3,7
4741,Entire home/apt,170,5,3
4742,Shared room,90,1,1
4743,Shared room,60,1,0
4744,Entire home/apt,165,7,12
4745,Entire home/apt,169,10,27
4746,Private room,110,2,0
4747,Private room,150,1,41
4748,Entire home/apt,250,3,8
4749,Entire home/apt,150,7,0
4750,Private room,100,3,67
4751,Private room,55,4,14
4752,Shared room,65,3,150
4753,Entire home/apt,110,30,35
4754,Private room,160,3,15
4755,Private room,188,1,15
4756,Entire home/apt,199,2,20
4757,Private room,60,1,4
4758,Entire home/apt,225,4,13
4759,Entire home/apt,130,30,2
4760,Shared room,60,1,0
4761,Entire home/apt,299,30,0
4762,Entire home/apt,150,2,0
4763,Entire home/apt,150,2,11
4764,Entire home/apt,375,3,43
4765,Entire home/apt,454,1,8
4766,Private room,99,2,25
4767,Entire home/apt,1000,1,4
4768,Private room,85,2,0
4769,Private room,119,1,0
4770,Private room,67,30,1
4771,Entire home/apt,260,30,0
4772,Private room,235,2,0
4773,Entire home/apt,968,5,0
4774,Entire home/apt,199,30,129
4775,Private room,65,4,3
4776,Entire home/apt,550,3,0
4777,Entire home/apt,175,3,137
4778,Entire home/apt,100,7,0
4779,Private room,190,1,53
4780,Private room,110,1,8
4781,Private room,80,1,29
4782,Private room,95,2,171
4783,Entire home/apt,160,30,0
4784,Entire home/apt,210,2,29
4785,Entire home/apt,170,5,1
4786,Entire home/apt,223,30,36
4787,Entire home/apt,132,30,7
4788,Private room,154,3,3
4789,Entire home/apt,400,4,1
4790,Entire home/apt,295,4,6
4791,Private room,125,1,1
4792,Entire home/apt,189,30,6
4793,Private room,99,1,4
4794,Entire home/apt,150,3,22
4795,Private room,250,5,1
4796,Entire home/apt,255,30,4
4797,Private room,164,2,32
4798,Entire home/apt,120,2,24
4799,Entire home/apt,376,30,0
4800,Private room,72,2,15
4801,Private room,210,1,1
4802,Entire home/apt,250,2,43
4803,Entire home/apt,155,30,2
4804,Entire home/apt,345,3,0
4805,Entire home/apt,195,1,1
4806,Private room,65,3,11
4807,Private room,125,3,72
4808,Private room,150,2,2
4809,Private room,120,30,1
4810,Private room,155,1,1
4811,Entire home/apt,110,15,41
4812,Entire home/apt,350,30,12
4813,Entire home/apt,399,1,1
4814,Entire home/apt,190,11,377
4815,Entire home/apt,125,4,10
4816,Private room,140,30,0
4817,Entire home/apt,80,29,0
4818,Entire home/apt,140,1,7
4819,Private room,150,1,119
4820,Entire home/apt,199,5,3
4821,Entire home/apt,375,1,0
4822,Entire home/apt,200,3,267
4823,Entire home/apt,150,7,5
4824,Entire home/apt,85,4,12
4825,Private room,120,1,2
4826,Entire home/apt,150,1,0
4827,Entire home/apt,198,4,6
4828,Private room,63,2,14
4829,Private room,75,1,131
4830,Entire home/apt,555,7,4
4831,Entire home/apt,195,4,4
4832,Entire home/apt,140,30,0
4833,Entire home/apt,150,14,4
4834,Entire home/apt,195,30,18
4835,Entire home/apt,130,2,5
4836,Entire home/apt,90,2,36
4837,Entire home/apt,100,2,20
4838,Private room,60,7,1
4839,Private room,70,1,1
4840,Private room,125,7,18
4841,Entire home/apt,146,2,39
4842,Entire home/apt,120,2,9
4843,Private room,200,3,0
4844,Entire home/apt,145,7,0
4845,Entire home/apt,600,5,14
4846,Entire home/apt,235,3,85
4847,Private room,90,1,96
4848,Entire home/apt,440,2,47
4849,Entire home/apt,349,30,0
4850,Entire home/apt,90,1,1
4851,Entire home/apt,600,30,0
4852,Private room,129,2,5
4853,Private room,45,5,62
4854,Entire home/apt,129,2,24
4855,Private room,100,1,51
4856,Private room,100,1,2
4857,Entire home/apt,95,1,61
4858,Entire home/apt,140,2,37
4859,Entire home/apt,191,5,0
4860,Entire home/apt,179,3,0
4861,Private room,140,2,1
4862,Entire home/apt,166,34,0
4863,Entire home/apt,170,6,68
4864,Entire home/apt,125,5,8
4865,Entire home/apt,150,2,3
4866,Private room,48,1,69
4867,Entire home/apt,534,3,4
4868,Entire home/apt,200,1,5
4869,Private room,89,3,8
4870,Entire home/apt,1000,2,29
4871,Private room,100,1,38
4872,Entire home/apt,150,2,1
4873,Private room,108,1,0
4874,Private room,60,2,3
4875,Entire home/apt,128,1,3
4876,Private room,140,2,4
4877,Entire home/apt,1300,1,0
4878,Entire home/apt,279,2,2
4879,Entire home/apt,114,3,14
4880,Entire home/apt,173,5,0
4881,Entire home/apt,245,3,17
4882,Private room,173,30,1
4883,Private room,110,5,2
4884,Shared room,100,1,0
4885,Private room,100,3,2
4886,Entire home/apt,210,3,2
4887,Private room,82,1,1
4888,Private room,59,1,0
4889,Entire home/apt,230,5,21
4890,Entire home/apt,195,3,19
4891,Private room,42,2,0
4892,Entire home/apt,100,4,49
4893,Private room,40,1,0
4894,Entire home/apt,250,30,0
4895,Private room,69,2,19
4896,Private room,28,30,2
4897,Private room,60,2,48
4898,Entire home/apt,308,30,2
4899,Entire home/apt,262,5,4
4900,Entire home/apt,149,26,2
4901,Entire home/apt,199,30,16
4902,Entire home/apt,340,1,4
4903,Private room,150,1,3
4904,Private room,80,7,1
4905,Entire home/apt,60,6,186
4906,Private room,145,1,6
4907,Private room,151,1,57
4908,Entire home/apt,253,2,7
4909,Entire home/apt,200,1,0
4910,Entire home/apt,308,30,0
4911,Private room,79,5,1
4912,Private room,77,2,38
4913,Entire home/apt,450,3,3
4914,Private room,72,1,3
4915,Private room,45,2,19
4916,Private room,50,1,2
4917,Entire home/apt,250,1,0
4918,Shared room,125,1,336
4919,Entire home/apt,100,3,34
4920,Private room,150,2,90
4921,Entire home/apt,125,3,2
4922,Private room,85,2,17
4923,Entire home/apt,250,3,0
4924,Private room,63,2,10
4925,Entire home/apt,199,5,46
4926,Entire home/apt,161,5,2
4927,Entire home/apt,170,3,5
4928,Entire home/apt,125,5,26
4929,Private room,100,2,25
4930,Private room,270,6,4
4931,Entire home/apt,272,30,1
4932,Entire home/apt,850,2,46
4933,Private room,73,30,1
4934,Private room,70,1,55
4935,Entire home/apt,300,1,30
4936,Entire home/apt,80,4,1
4937,Private room,59,1,7
4938,Private room,73,1,2
4939,Private room,75,1,10
4940,Private room,85,1,109
4941,Entire home/apt,195,5,3
4942,Entire home/apt,149,4,38
4943,Entire home/apt,100,31,19
4944,Entire home/apt,450,3,29
4945,Private room,89,1,1
4946,Private room,65,2,89
4947,Entire home/apt,175,7,0
4948,Entire home/apt,400,30,0
4949,Private room,195,1,37
4950,Private room,60,3,1
4951,Entire home/apt,82,4,112
4952,Private room,120,2,28
4953,Entire home/apt,149,3,90
4954,Private room,65,4,0
4955,Private room,90,1,1
4956,Entire home/apt,140,4,20
4957,Entire home/apt,395,3,2
4958,Private room,100,1,206
4959,Entire home/apt,160,30,79
4960,Private room,65,3,4
4961,Entire home/apt,225,5,17
4962,Entire home/apt,160,5,37
4963,Entire home/apt,199,2,2
4964,Private room,120,3,2
4965,Entire home/apt,100,30,0
4966,Entire home/apt,300,4,4
4967,Entire home/apt,180,29,3
4968,Entire home/apt,125,3,0
4969,Entire home/apt,1500,2,5
4970,Private room,67,1,11
4971,Entire home/apt,180,1,0
4972,Private room,75,30,49
4973,Private room,225,20,18
4974,Entire home/apt,100,1,22
4975,Entire home/apt,105,4,2
4976,Entire home/apt,200,11,0
4977,Private room,71,1,86
4978,Entire home/apt,150,7,1
4979,Entire home/apt,120,2,40
4980,Entire home/apt,179,30,0
4981,Entire home/apt,82,9,8
4982,Private room,150,1,10
4983,Entire home/apt,190,3,2
4984,Entire home/apt,160,1,1
4985,Entire home/apt,231,3,1
4986,Private room,70,3,68
4987,Private room,1100,1,1
4988,Entire home/apt,160,309,13
4989,Private room,150,17,0
4990,Private room,75,2,48
4991,Private room,60,1,0
4992,Entire home/apt,110,90,0
4993,Private room,249,2,187
4994,Entire home/apt,225,30,1
4995,Entire home/apt,140,14,0
4996,Private room,125,11,158
4997,Entire home/apt,150,2,12
4998,Entire home/apt,131,3,3
4999,Entire home/apt,800,3,4
5000,Private room,98,3,3
5001,Private room,159,1,0
5002,Entire home/apt,250,2,2
5003,Entire home/apt,240,7,5
5004,Private room,45,4,2
5005,Private room,65,2,42
5006,Entire home/apt,129,1,2
5007,Entire home/apt,115,14,13
5008,Shared room,100,1,1
5009,Entire home/apt,150,11,11
5010,Entire home/apt,180,30,8
5011,Entire home/apt,150,4,0
5012,Private room,75,1,2
5013,Entire home/apt,419,1,29
5014,Entire home/apt,92,30,6
5015,Entire home/apt,75,2,7
5016,Private room,59,1,1
5017,Entire home/apt,265,2,0
5018,Private room,65,2,8
5019,Shared room,100,3,0
5020,Entire home/apt,300,3,36
5021,Private room,60,4,61
5022,Entire home/apt,126,2,9
5023,Entire home/apt,157,2,57
5024,Entire home/apt,120,4,35
5025,Entire home/apt,200,1,30
5026,Entire home/apt,250,5,6
5027,Private room,35,7,91
5028,Private room,80,1,1
5029,Private room,55,1,7
5030,Private room,53,2,15
5031,Entire home/apt,222,30,3
5032,Entire home/apt,485,15,2
5033,Private room,123,1,1
5034,Entire home/apt,165,1,2
5035,Entire home/apt,400,1,1
5036,Private room,150,3,0
5037,Entire home/apt,125,1,108
5038,Entire home/apt,169,3,1
5039,Private room,59,3,7
5040,Private room,82,3,16
5041,Shared room,95,1,1
5042,Private room,100,1,1
5043,Entire home/apt,175,3,119
5044,Private room,229,4,8
5045,Entire home/apt,100,30,48
5046,Entire home/apt,137,30,9
5047,Private room,100,2,0
5048,Entire home/apt,86,1,8
5049,Entire home/apt,220,3,2
5050,Private room,99,1,1
5051,Private room,50,7,2
5052,Private room,110,3,0
5053,Private room,80,30,5
5054,Entire home/apt,150,30,1
5055,Entire home/apt,1550,7,0
5056,Entire home/apt,105,1,58
5057,Entire home/apt,100,3,0
5058,Entire home/apt,1000,4,2
5059,Entire home/apt,125,20,2
5060,Private room,300,3,0
5061,Entire home/apt,200,6,1
5062,Private room,90,3,17
5063,Entire home/apt,600,3,0
5064,Private room,60,1,4
5065,Entire home/apt,245,2,0
5066,Private room,69,30,3
5067,Entire home/apt,7189,30,4
5068,Private room,97,1,0
5069,Private room,150,2,82
5070,Private room,55,30,0
5071,Entire home/apt,95,5,6
5072,Entire home/apt,320,4,55
5073,Entire home/apt,180,3,1
5074,Entire home/apt,145,3,0
5075,Entire home/apt,91,2,27
5076,Entire home/apt,209,30,4
5077,Private room,99,2,0
5078,Entire home/apt,240,30,1
5079,Entire home/apt,176,30,0
5080,Entire home/apt,125,2,9
5081,Private room,99,3,0
5082,Entire home/apt,80,5,5
5083,Private room,60,2,3
5084,Entire home/apt,50,7,0
5085,Entire home/apt,163,4,1
5086,Entire home/apt,242,3,26
5087,Entire home/apt,339,30,1
5088,Entire home/apt,228,2,6
5089,Entire home/apt,750,30,0
5090,Private room,97,2,90
5091,Entire home/apt,195,2,21
5092,Private room,150,5,0
5093,Private room,75,1,66
5094,Private room,90,2,2
5095,Entire home/apt,200,4,25
5096,Entire home/apt,185,30,32
5097,Entire home/apt,135,2,252
5098,Entire home/apt,190,1,0
5099,Entire home/apt,110,2,4
5100,Entire home/apt,160,1,0
5101,Entire home/apt,140,1,8
5102,Private room,110,4,5
5103,Private room,30,1,3
5104,Private room,70,1,42
5105,Private room,150,1,21
5106,Entire home/apt,850,30,0
5107,Private room,100,3,39
5108,Entire home/apt,229,3,5
5109,Entire home/apt,219,30,0
5110,Entire home/apt,450,3,3
5111,Private room,220,1,0
5112,Entire home/apt,178,7,0
5113,Private room,75,5,9
5114,Entire home/apt,300,4,25
5115,Private room,100,2,332
5116,Entire home/apt,85,8,3
5117,Entire home/apt,100,60,16
5118,Private room,99,3,44
5119,Entire home/apt,125,1,2
5120,Entire home/apt,119,30,3
5121,Private room,100,3,7
5122,Entire home/apt,110,4,17
5123,Private room,125,3,260
5124,Private room,100,2,17
5125,Private room,88,1,0
5126,Private room,175,1,26
5127,Private room,40,360,3
5128,Entire home/apt,130,1,2
5129,Entire home/apt,125,4,52
5130,Entire home/apt,250,4,1
5131,Entire home/apt,115,3,4
5132,Entire home/apt,250,1,0
5133,Entire home/apt,240,2,2
5134,Private room,125,1,9
5135,Private room,199,3,1
5136,Entire home/apt,225,3,3
5137,Entire home/apt,175,25,7
5138,Entire home/apt,225,3,11
5139,Private room,115,2,157
5140,Entire home/apt,395,3,1
5141,Entire home/apt,250,1,0
5142,Entire home/apt,395,4,2
5143,Entire home/apt,236,4,141
5144,Entire home/apt,300,4,3
5145,Entire home/apt,150,31,12
5146,Entire home/apt,329,2,111
5147,Private room,100,2,84
5148,Private room,69,1,8
5149,Entire home/apt,199,1,55
5150,Private room,105,1,113
5151,Private room,145,1,263
5152,Entire home/apt,569,7,0
5153,Entire home/apt,85,3,9
5154,Private room,30,1,1
5155,Private room,135,1,3
5156,Private room,45,2,8
5157,Private room,175,5,136
5158,Private room,85,1,12
5159,Shared room,63,2,38
5160,Entire home/apt,400,6,67
5161,Entire home/apt,31,1,10
5162,Entire home/apt,200,30,15
5163,Private room,82,4,6
5164,Entire home/apt,250,3,0
5165,Entire home/apt,285,1,17
5166,Private room,49,1,2
5167,Entire home/apt,110,6,0
5168,Private room,108,1,80
5169,Entire home/apt,199,1,8
5170,Private room,129,1,7
5171,Entire home/apt,170,2,0
5172,Private room,140,1,14
5173,Private room,60,1,88
5174,Entire home/apt,250,30,1
5175,Entire home/apt,199,3,2
5176,Entire home/apt,190,3,70
5177,Entire home/apt,200,1,25
5178,Private room,124,1,4
5179,Private room,41,2,0
5180,Entire home/apt,180,25,7
5181,Entire home/apt,100,7,1
5182,Private room,69,30,1
5183,Private room,150,2,0
5184,Entire home/apt,120,2,79
5185,Private room,150,5,2
5186,Entire home/apt,300,4,0
5187,Private room,50,3,165
5188,Entire home/apt,100,7,22
5189,Shared room,48,1,0
5190,Entire home/apt,350,3,10
5191,Entire home/apt,623,30,1
5192,Private room,1400,3,0
5193,Entire home/apt,200,3,0
5194,Private room,125,4,1
5195,Private room,78,2,23
5196,Private room,68,3,0
5197,Private room,85,7,3
5198,Entire home/apt,239,1,27
5199,Entire home/apt,150,11,1
5200,Entire home/apt,175,6,1
5201,Entire home/apt,630,2,29
5202,Private room,110,5,0
5203,Private room,65,2,1
5204,Private room,500,4,0
5205,Private room,70,10,2
5206,Private room,74,7,1
5207,Private room,75,3,10
5208,Entire home/apt,115,2,3
5209,Private room,85,7,4
5210,Entire home/apt,200,2,43
5211,Entire home/apt,250,30,0
5212,Private room,75,2,4
5213,Entire home/apt,138,7,2
5214,Entire home/apt,151,1,21
5215,Entire home/apt,275,30,1
5216,Private room,120,1,107
5217,Entire home/apt,175,1,35
5218,Entire home/apt,100,4,0
5219,Private room,90,1,6
5220,Entire home/apt,250,4,0
5221,Private room,140,2,13
5222,Entire home/apt,135,1,2
5223,Entire home/apt,225,2,0
5224,Entire home/apt,267,1,62
5225,Private room,120,1,0
5226,Entire home/apt,300,2,0
5227,Entire home/apt,840,3,34
5228,Private room,99,5,3
5229,Entire home/apt,280,6,0
5230,Private room,600,3,1
5231,Entire home/apt,200,7,2
5232,Private room,100,4,0
5233,Entire home/apt,195,30,0
5234,Private room,35,1,90
5235,Entire home/apt,135,3,71
5236,Private room,100,6,134
5237,Entire home/apt,160,30,5
5238,Entire home/apt,245,2,19
5239,Private room,70,1,101
5240,Entire home/apt,99,2,7
5241,Entire home/apt,62,30,3
5242,Entire home/apt,280,2,30
5243,Entire home/apt,120,8,5
5244,Private room,145,3,65
5245,Private room,65,30,3
5246,Entire home/apt,250,7,69
5247,Private room,50,1,36
5248,Shared room,140,1,11
5249,Entire home/apt,179,1,3
5250,Entire home/apt,300,3,39
5251,Entire home/apt,350,4,0
5252,Private room,83,3,2
5253,Private room,155,1,13
5254,Private room,135,1,0
5255,Entire home/apt,210,2,32
5256,Entire home/apt,299,7,9
5257,Entire home/apt,249,3,4
5258,Entire home/apt,2000,3,43
5259,Entire home/apt,190,3,10
5260,Private room,125,4,23
5261,Private room,65,3,32
5262,Private room,200,1,88
5263,Entire home/apt,408,1,0
5264,Entire home/apt,150,2,0
5265,Private room,79,30,1
5266,Entire home/apt,340,3,12
5267,Private room,105,2,2
5268,Entire home/apt,425,2,0
5269,Private room,90,4,2
5270,Private room,49,2,5
5271,Private room,105,1,0
5272,Entire home/apt,187,4,3
5273,Entire home/apt,135,3,1
5274,Entire home/apt,5000,30,6
5275,Shared room,50,3,2
5276,Private room,250,1,42
5277,Private room,74,31,0
5278,Entire home/apt,99,3,1
5279,Entire home/apt,300,4,1
5280,Entire home/apt,238,2,5
5281,Private room,110,1,137
5282,Entire home/apt,111,5,0
5283,Private room,139,1,6
5284,Private room,60,2,1
5285,Shared room,41,2,18
5286,Entire home/apt,225,30,13
5287,Private room,49,4,146
5288,Private room,100,1,0
5289,Entire home/apt,286,7,19
5290,Entire home/apt,95,2,2
5291,Entire home/apt,199,6,36
5292,Entire home/apt,180,4,4
5293,Private room,99,5,2
5294,Entire home/apt,155,3,1
5295,Private room,75,4,8
5296,Entire home/apt,174,29,0
5297,Entire home/apt,165,2,1
5298,Private room,940,7,0
5299,Private room,99,1,138
5300,Entire home/apt,233,5,6
5301,Entire home/apt,250,2,19
5302,Entire home/apt,130,30,4
5303,Entire home/apt,100,7,0
5304,Entire home/apt,99,30,0
5305,Shared room,83,2,2
5306,Entire home/apt,100,5,0
5307,Private room,158,2,65
5308,Entire home/apt,355,1,11
5309,Private room,50,2,3
5310,Entire home/apt,450,1,10
5311,Private room,81,7,0
5312,Entire home/apt,120,2,2
5313,Entire home/apt,150,2,84
5314,Private room,60,4,0
5315,Private room,60,1,6
5316,Entire home/apt,240,4,1
5317,Entire home/apt,175,5,0
