age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,income
28,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K
42,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,35,<=50K
49,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
38,Private,Masters,Never-married,Adm-clerical,Unmarried,White,Female,40,<=50K
31,State-gov,HS-grad,Divorced,Protective-serv,Own-child,Other,Male,40,<=50K
20,?,Some-college,Never-married,?,Own-child,White,Female,25,<=50K
36,Private,HS-grad,Never-married,Craft-repair,Unmarried,White,Male,40,<=50K
58,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,>50K
28,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,>50K
34,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,>50K
46,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,44,<=50K
46,Self-emp-not-inc,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,50,<=50K
40,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K
24,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,40,<=50K
34,Private,HS-grad,Separated,Craft-repair,Not-in-family,White,Male,45,<=50K
44,Private,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,White,Male,40,<=50K
32,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,40,<=50K
52,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,40,<=50K
49,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,40,>50K
38,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K
26,Self-emp-inc,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,<=50K
47,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,<=50K
41,Private,5th-6th,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,<=50K
34,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,>50K
33,Private,HS-grad,Separated,Sales,Not-in-family,White,Female,35,<=50K
75,Private,10th,Widowed,Other-service,Not-in-family,White,Female,15,<=50K
48,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,>50K
28,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,40,<=50K
25,Private,Bachelors,Never-married,Other-service,Own-child,White,Male,40,<=50K
28,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,35,<=50K
22,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K
44,Local-gov,Some-college,Divorced,Other-service,Unmarried,White,Female,40,<=50K
17,Private,10th,Never-married,Other-service,Own-child,White,Female,20,<=50K
51,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,<=50K
63,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,40,>50K
23,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,40,<=50K
28,Private,Bachelors,Separated,Exec-managerial,Not-in-family,White,Female,50,>50K
36,Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,Male,40,<=50K
37,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,<=50K
71,?,Some-college,Married-civ-spouse,?,Husband,White,Male,10,<=50K
45,Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,35,>50K
58,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K
37,Private,10th,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,<=50K
36,Self-emp-inc,Some-college,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,25,<=50K
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
34,Private,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,40,>50K
42,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,50,>50K
35,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,27,<=50K
53,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,<=50K
57,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K
48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K
26,Private,Assoc-voc,Never-married,Craft-repair,Not-in-family,White,Male,65,<=50K
42,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,44,>50K
59,Federal-gov,Assoc-acdm,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,<=50K
33,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,<=50K
27,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,45,<=50K
47,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,60,>50K
28,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K
34,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K
60,?,7th-8th,Married-civ-spouse,?,Husband,White,Male,40,<=50K
57,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
36,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K
30,Private,Assoc-voc,Never-married,Craft-repair,Not-in-family,White,Female,40,<=50K
58,Private,10th,Married-civ-spouse,Other-service,Wife,White,Female,8,<=50K
46,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,40,<=50K
35,Federal-gov,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,40,<=50K
40,Self-emp-not-inc,5th-6th,Married-civ-spouse,Craft-repair,Husband,Other,Male,8,<=50K
30,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K
34,State-gov,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,40,<=50K
45,Private,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
34,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
41,?,Bachelors,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,5,<=50K
53,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,72,>50K
64,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K
24,Private,11th,Never-married,Prof-specialty,Own-child,White,Male,40,>50K
24,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,<=50K
55,Private,Some-college,Divorced,Sales,Not-in-family,White,Female,50,<=50K
32,Local-gov,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,40,<=50K
65,Local-gov,HS-grad,Widowed,Other-service,Unmarried,Black,Female,25,<=50K
34,Local-gov,HS-grad,Never-married,Farming-fishing,Not-in-family,Black,Male,60,<=50K
19,Private,Some-college,Never-married,Other-service,Own-child,White,Male,20,<=50K
38,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K
17,Private,11th,Never-married,Other-service,Own-child,White,Male,10,<=50K
57,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,75,<=50K
37,Private,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,35,<=50K
83,Self-emp-inc,HS-grad,Divorced,Sales,Not-in-family,White,Male,20,<=50K
48,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,50,<=50K
33,?,Assoc-voc,Married-civ-spouse,?,Own-child,White,Female,50,>50K
18,Local-gov,Some-college,Never-married,Exec-managerial,Own-child,White,Male,12,<=50K
20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,38,<=50K
34,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,>50K
40,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,40,>50K
37,Private,HS-grad,Separated,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,40,<=50K
34,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,<=50K
17,Private,11th,Never-married,Adm-clerical,Own-child,White,Male,40,<=50K
32,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,40,<=50K
20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,30,<=50K
47,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,<=50K
40,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K
44,Federal-gov,HS-grad,Never-married,Craft-repair,Own-child,Black,Female,40,<=50K
41,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,>50K
17,Private,5th-6th,Never-married,Sales,Own-child,White,Female,20,<=50K
36,Self-emp-inc,Assoc-acdm,Separated,Exec-managerial,Not-in-family,White,Male,50,<=50K
25,Private,Assoc-voc,Married-civ-spouse,Sales,Wife,White,Female,42,>50K
23,State-gov,Some-college,Separated,Prof-specialty,Not-in-family,White,Female,20,<=50K
48,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,70,<=50K
39,Federal-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,60,<=50K
58,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,60,>50K
37,Private,10th,Divorced,Transport-moving,Unmarried,White,Male,40,<=50K
54,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,35,<=50K
18,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,48,<=50K
27,Private,HS-grad,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,40,<=50K
23,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,50,<=50K
25,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K
37,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
34,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,>50K
24,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,50,<=50K
39,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,>50K
47,Local-gov,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K
69,Private,HS-grad,Widowed,Adm-clerical,Unmarried,White,Male,8,<=50K
18,Private,Some-college,Never-married,Sales,Own-child,White,Female,25,<=50K
54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,44,>50K
49,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,40,<=50K
52,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,<=50K
22,Private,10th,Never-married,Craft-repair,Other-relative,White,Male,30,<=50K
38,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,20,<=50K
41,Self-emp-not-inc,Masters,Widowed,Prof-specialty,Not-in-family,White,Female,20,<=50K
18,?,12th,Never-married,?,Not-in-family,White,Male,25,<=50K
38,Federal-gov,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,40,<=50K
39,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,35,<=50K
22,Local-gov,Some-college,Never-married,Exec-managerial,Own-child,White,Female,25,<=50K
63,Private,Masters,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,46,<=50K
43,Private,Some-college,Divorced,Other-service,Not-in-family,White,Male,30,<=50K
18,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,30,<=50K
46,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K
48,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K
64,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,20,<=50K
27,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Female,40,<=50K
31,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,60,<=50K
20,Private,11th,Never-married,Craft-repair,Not-in-family,White,Male,40,<=50K
22,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,40,<=50K
54,Private,1st-4th,Married-civ-spouse,Other-service,Husband,White,Male,35,<=50K
35,Private,HS-grad,Divorced,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,40,<=50K
42,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,40,<=50K
35,Private,7th-8th,Widowed,Other-service,Unmarried,White,Female,80,<=50K
34,Private,Some-college,Divorced,Other-service,Not-in-family,White,Female,34,<=50K
53,Private,9th,Never-married,Priv-house-serv,Not-in-family,White,Female,9,<=50K
52,Self-emp-not-inc,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Male,50,<=50K
67,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,38,<=50K
54,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,35,<=50K
47,Self-emp-not-inc,7th-8th,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K
36,Private,10th,Divorced,Craft-repair,Unmarried,White,Female,40,<=50K
30,Private,Some-college,Divorced,Sales,Own-child,White,Male,40,<=50K
37,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
39,Self-emp-not-inc,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K
28,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,40,<=50K
41,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,45,>50K
18,Private,5th-6th,Never-married,Handlers-cleaners,Own-child,White,Male,40,<=50K
27,Private,Some-college,Never-married,Craft-repair,Unmarried,White,Male,50,<=50K
23,?,Bachelors,Never-married,?,Own-child,Other,Male,40,<=50K
23,Private,Some-college,Never-married,Other-service,Own-child,White,Male,40,<=50K
55,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,<=50K
55,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K
72,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,42,<=50K
36,Private,HS-grad,Never-married,Other-service,Own-child,Black,Male,35,<=50K
19,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,25,<=50K
47,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K
44,Local-gov,12th,Married-civ-spouse,Other-service,Other-relative,White,Female,35,<=50K
30,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,52,>50K
22,?,HS-grad,Never-married,?,Own-child,Black,Male,40,<=50K
17,Private,11th,Never-married,Other-service,Not-in-family,White,Female,20,<=50K
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K
59,Private,9th,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K
47,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
47,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K
31,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,20,<=50K
43,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
36,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,43,<=50K
22,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,25,<=50K
50,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,40,<=50K
45,State-gov,HS-grad,Divorced,Tech-support,Unmarried,White,Female,40,<=50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,65,<=50K
23,Self-emp-not-inc,10th,Never-married,Sales,Own-child,White,Female,40,<=50K
30,Private,9th,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,<=50K
38,State-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,Male,65,<=50K
55,?,HS-grad,Divorced,?,Not-in-family,White,Male,40,<=50K
45,Private,HS-grad,Divorced,Other-service,Not-in-family,Black,Female,35,<=50K
46,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,40,<=50K
32,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,45,<=50K
41,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,44,>50K
69,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,35,<=50K
22,Private,HS-grad,Never-married,Sales,Own-child,White,Female,40,<=50K
17,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,10,<=50K
76,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Male,6,<=50K
49,Self-emp-not-inc,10th,Divorced,Farming-fishing,Unmarried,White,Male,70,<=50K
48,Private,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Male,40,<=50K
53,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K
58,Private,11th,Married-civ-spouse,Transport-moving,Husband,Black,Male,60,<=50K
18,Self-emp-inc,11th,Never-married,Farming-fishing,Own-child,White,Male,30,<=50K
52,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,<=50K
45,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,55,<=50K
17,Private,11th,Never-married,Other-service,Own-child,White,Male,20,<=50K
27,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,<=50K
30,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,>50K
47,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,>50K
41,Private,Bachelors,Married-civ-spouse,Sales,Wife,White,Female,12,>50K
36,Private,10th,Never-married,Handlers-cleaners,Own-child,White,Male,40,<=50K
23,Private,1st-4th,Never-married,Farming-fishing,Not-in-family,White,Male,36,<=50K
52,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Female,40,<=50K
68,Private,11th,Widowed,Machine-op-inspct,Not-in-family,Black,Female,35,<=50K
53,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,<=50K
62,Private,1st-4th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K
41,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K
43,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,70,>50K
23,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,35,<=50K
41,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,20,<=50K
28,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Black,Female,40,<=50K
30,Private,Some-college,Never-married,Adm-clerical,Unmarried,White,Female,30,<=50K
40,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,<=50K
44,Private,HS-grad,Divorced,Machine-op-inspct,Own-child,White,Male,40,<=50K
26,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,40,<=50K
23,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,40,<=50K
62,Private,9th,Widowed,Machine-op-inspct,Not-in-family,White,Female,35,<=50K
57,?,Preschool,Separated,?,Not-in-family,White,Male,40,<=50K
38,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,<=50K
35,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,35,<=50K
52,?,10th,Divorced,?,Not-in-family,White,Male,25,<=50K
57,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,<=50K
38,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K
37,Private,Bachelors,Separated,Exec-managerial,Not-in-family,White,Male,55,>50K
66,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
32,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K
48,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,65,<=50K
55,Private,Bachelors,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Male,35,<=50K
59,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,25,<=50K
26,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,30,<=50K
34,Private,Bachelors,Never-married,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,40,<=50K
23,?,Some-college,Never-married,?,Not-in-family,White,Male,40,<=50K
36,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,40,<=50K
41,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,<=50K
42,Private,11th,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,<=50K
30,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,10,<=50K
51,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50,<=50K
49,Private,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,40,<=50K
51,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K
55,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,40,>50K
31,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,40,<=50K
34,State-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,60,<=50K
39,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K
28,Private,Some-college,Separated,Adm-clerical,Unmarried,Black,Female,30,<=50K
19,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Black,Male,32,<=50K
37,Private,Some-college,Divorced,Tech-support,Unmarried,White,Female,40,<=50K
24,Private,Assoc-voc,Never-married,Craft-repair,Own-child,White,Male,20,<=50K
52,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,40,<=50K
44,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Female,40,<=50K
24,Private,HS-grad,Separated,Other-service,Unmarried,White,Female,50,>50K
48,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K
48,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K
56,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,60,<=50K
30,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Black,Male,40,<=50K
55,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Male,25,<=50K
22,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,<=50K
22,Private,HS-grad,Never-married,Sales,Own-child,Black,Female,40,<=50K
39,Private,Bachelors,Never-married,Exec-managerial,Other-relative,Black,Male,45,<=50K
31,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,<=50K
34,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K
25,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,40,<=50K
21,State-gov,Some-college,Never-married,Exec-managerial,Own-child,White,Male,10,<=50K
23,Private,Some-college,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,40,<=50K
36,Private,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,50,<=50K
45,State-gov,Prof-school,Divorced,Prof-specialty,Unmarried,White,Female,43,<=50K
33,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K
43,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,40,<=50K
46,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,60,<=50K
28,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,>50K
32,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K
55,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K
37,Private,Bachelors,Never-married,Transport-moving,Not-in-family,White,Male,46,<=50K
39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,65,>50K
39,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,<=50K
54,Private,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,40,<=50K
54,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K
41,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,>50K
50,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,<=50K
38,Local-gov,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K
29,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,18,<=50K
53,Self-emp-inc,Some-college,Widowed,Sales,Not-in-family,White,Female,60,<=50K
43,State-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,60,>50K
23,Local-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,32,<=50K
36,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,40,<=50K
37,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K
19,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,30,<=50K
29,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,40,<=50K
55,Private,9th,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,<=50K
43,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,99,<=50K
26,State-gov,HS-grad,Never-married,Craft-repair,Unmarried,White,Male,50,<=50K
55,Private,HS-grad,Separated,Handlers-cleaners,Unmarried,White,Male,40,<=50K
22,Private,Some-college,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Male,24,<=50K
23,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,35,<=50K
28,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,<=50K
45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,38,<=50K
56,Federal-gov,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Male,40,<=50K
71,?,5th-6th,Married-civ-spouse,?,Husband,White,Male,10,<=50K
18,Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,Male,40,<=50K
32,Private,Some-college,Divorced,Exec-managerial,Not-in-family,Black,Male,40,<=50K
28,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,20,<=50K
32,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K
17,Private,10th,Never-married,Other-service,Own-child,White,Female,12,<=50K
41,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K
22,Private,Preschool,Never-married,Other-service,Own-child,Black,Female,20,<=50K
42,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K
63,Private,12th,Divorced,Priv-house-serv,Unmarried,Black,Female,30,<=50K
27,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,>50K
40,Self-emp-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,>50K
28,Private,Masters,Divorced,Sales,Own-child,White,Female,40,<=50K
38,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K
53,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
54,?,Preschool,Married-civ-spouse,?,Wife,White,Female,40,<=50K
38,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,43,>50K
